provider,model,quality,scale,quality_for_agents,judged,probes_passed,probes_answered,probes_total,http_failures,avg_seconds,requests_per_day,volume_tier,volume_confidence
google,gemini-3.5-flash-lite,9.2,probes+jury,9.8,True,4,4,4,0,0.8,500,MEDIUM,DECLARED
alibaba,qwen3.5-flash,9.0,probes+jury,9.8,True,4,4,4,0,1.5,,UNKNOWN,UNKNOWN
openrouter,minimax/minimax-m3:free,8.5,probes+jury,8.5,True,4,4,4,0,3.5,50,LOW,DECLARED
xkiro,minimax/minimax-m2.7:free,8.5,probes+jury,9.5,True,4,4,4,0,16.4,,UNKNOWN,UNKNOWN
openrouter,minimax/minimax-m2.7:free,8.5,probes+jury,9.5,True,4,4,4,0,20.4,50,LOW,DECLARED
groq,openai/gpt-oss-20b,8.3,probes+jury,9.2,True,4,4,4,0,0.4,1000,MEDIUM,PAID-PLAN
cloudflare,@cf/openai/gpt-oss-120b,8.3,probes+jury,9.5,True,4,4,4,0,5.2,,UNKNOWN,UNKNOWN
groq,openai/gpt-oss-120b,8.2,probes+jury,9.0,True,4,4,4,0,0.5,1000,MEDIUM,PAID-PLAN
cerebras,gemma-4-31b,7.8,probes+jury,8.5,True,4,4,4,0,0.4,2400,HIGH,MEASURED
ollama,gemma4:31b,7.8,probes+jury,8.5,True,4,4,4,0,0.8,,UNKNOWN,UNKNOWN
xkiro,minimax/minimax-m3:free,7.8,probes+jury,8.2,True,4,4,4,0,11.2,,UNKNOWN,UNKNOWN
cloudflare,@cf/mistralai/mistral-small-3.1-24b-instruct,7.7,probes+jury,8.5,True,4,4,4,0,2.2,,UNKNOWN,UNKNOWN
cerebras,qwen-3.8-27b,7.5,probes only,7.5,False,3,4,4,0,0.6,2400,HIGH,MEASURED
ollama,gpt-oss:120b,7.5,probes only,7.5,False,3,4,4,0,2.4,,UNKNOWN,UNKNOWN
cloudflare,@cf/google/gemma-4-26b-a4b-it,7.5,probes only,7.5,False,3,4,4,0,13.0,,UNKNOWN,UNKNOWN
google,gemma-4-31b-it,7.5,probes only,7.5,False,3,4,4,0,19.1,,UNKNOWN,UNKNOWN
cloudflare,@cf/qwen/qwen3.8-27b,7.5,probes only,7.5,False,3,4,4,0,24.9,,UNKNOWN,UNKNOWN
nvidia,nvidia/nemotron-3-ultra-550b-a55b,7.3,probes+jury,7.0,True,2,2,4,2,40.1,,UNKNOWN,UNKNOWN
cloudflare,@cf/meta/llama-3.3-70b-instruct-fp8-fast,7.2,probes+jury,7.8,True,4,4,4,0,1.4,,UNKNOWN,UNKNOWN
groq,qwen/qwen3.8-27b,7.0,probes+jury,7.8,True,4,4,4,0,0.4,1000,MEDIUM,PAID-PLAN
cerebras,gpt-oss-120b,6.9,probes+jury,7.8,True,3,4,4,0,0.4,2400,HIGH,MEASURED
alibaba,qwen-turbo,6.9,probes+jury,7.5,True,3,4,4,0,1.3,,UNKNOWN,UNKNOWN
ollama,gpt-oss:20b,6.8,probes+jury,7.2,True,4,4,4,0,2.0,,UNKNOWN,UNKNOWN
nvidia,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,6.8,probes+jury,7.2,True,4,4,4,0,8.6,,UNKNOWN,UNKNOWN
alibaba,qwen-flash,6.4,probes+jury,6.5,True,3,4,4,0,1.2,,UNKNOWN,UNKNOWN
alibaba,qwen-plus,5.9,probes+jury,6.5,True,3,4,4,0,2.4,,UNKNOWN,UNKNOWN
openrouter,nvidia/nemotron-3-ultra-550b-a55b:free,5.9,probes+jury,5.0,True,3,4,4,0,48.6,50,LOW,DECLARED
nvidia,nvidia/nemotron-3-super-120b-a12b,5.5,probes+jury,5.5,True,3,3,4,1,1.3,,UNKNOWN,UNKNOWN
groq,qwen/qwen3.6-27b,5.0,probes only,5.0,False,1,2,4,2,0.7,1000,MEDIUM,PAID-PLAN
nvidia,nvidia/nemotron-3.5-lightning-30b-a3b,2.5,probes only,2.5,False,1,4,4,0,59.0,,UNKNOWN,UNKNOWN
